Date,open,high,low,close,adjusted_close,volume
1980-01-02,10.482,10.482,10.482,10.482,10.482,0
1980-01-03,10.584,10.584,10.584,10.584,10.584,0
1980-01-04,10.636,10.636,10.636,10.636,10.636,0
1980-01-07,10.61,10.61,10.61,10.61,10.61,0
1980-01-08,10.553,10.553,10.553,10.553,10.553,0
1980-01-09,10.558,10.558,10.558,10.558,10.558,0
1980-01-10,10.492,10.492,10.492,10.492,10.492,0
1980-01-11,10.661,10.661,10.661,10.661,10.661,0
1980-01-14,10.682,10.682,10.682,10.682,10.682,0
1980-01-15,10.63,10.63,10.63,10.63,10.63,0
1980-01-16,10.63,10.63,10.63,10.63,10.63,0
1980-01-17,10.686,10.686,10.686,10.686,10.686,0
1980-01-18,10.802,10.802,10.802,10.802,10.802,0
1980-01-21,10.933,10.933,10.933,10.933,10.933,0
1980-01-22,10.827,10.827,10.827,10.827,10.827,0
1980-01-23,10.796,10.796,10.796,10.796,10.796,0
1980-01-24,10.987,10.987,10.987,10.987,10.987,0
1980-01-25,11.078,11.078,11.078,11.078,11.078,0
1980-01-28,11.131,11.131,11.131,11.131,11.131,0
1980-01-29,11.186,11.186,11.186,11.186,11.186,0
1980-01-30,11.142,11.142,11.142,11.142,11.142,0
1980-01-31,11.11,11.11,11.11,11.11,11.11,0
1980-02-01,11.268,11.268,11.268,11.268,11.268,0
1980-02-04,11.383,11.383,11.383,11.383,11.383,0
1980-02-05,11.707,11.707,11.707,11.707,11.707,0
1980-02-06,11.896,11.896,11.896,11.896,11.896,0
1980-02-07,11.684,11.684,11.684,11.684,11.684,0
1980-02-08,11.765,11.765,11.765,11.765,11.765,0
1980-02-11,11.983,11.983,11.983,11.983,11.983,0
1980-02-12,11.983,11.983,11.983,11.983,11.983,0
1980-02-13,11.839,11.839,11.839,11.839,11.839,0
1980-02-14,11.949,11.949,11.949,11.949,11.949,0
1980-02-15,12.16,12.16,12.16,12.16,12.16,0
1980-02-18,12.16,12.16,12.16,12.16,12.16,0
1980-02-19,12.825,12.825,12.825,12.825,12.825,0
1980-02-20,12.813,12.813,12.813,12.813,12.813,0
1980-02-21,13.192,13.192,13.192,13.192,13.192,0
1980-02-22,13.04,13.04,13.04,13.04,13.04,0
1980-02-25,13.257,13.257,13.257,13.257,13.257,0
1980-02-26,13.636,13.636,13.636,13.636,13.636,0
1980-02-27,13.439,13.439,13.439,13.439,13.439,0
1980-02-28,12.841,12.841,12.841,12.841,12.841,0
1980-02-29,12.699,12.699,12.699,12.699,12.699,0
1980-03-03,12.786,12.786,12.786,12.786,12.786,0
1980-03-04,12.904,12.904,12.904,12.904,12.904,0
1980-03-05,13.018,13.018,13.018,13.018,13.018,0
1980-03-06,13.043,13.043,13.043,13.043,13.043,0
1980-03-07,12.819,12.819,12.819,12.819,12.819,0
1980-03-10,12.597,12.597,12.597,12.597,12.597,0
1980-03-11,12.38,12.38,12.38,12.38,12.38,0
1980-03-12,12.585,12.585,12.585,12.585,12.585,0
1980-03-13,12.477,12.477,12.477,12.477,12.477,0
1980-03-14,12.49,12.49,12.49,12.49,12.49,0
1980-03-17,12.55,12.55,12.55,12.55,12.55,0
1980-03-18,12.37,12.37,12.37,12.37,12.37,0
1980-03-19,12.309,12.309,12.309,12.309,12.309,0
1980-03-20,12.309,12.309,12.309,12.309,12.309,0
1980-03-21,12.725,12.725,12.725,12.725,12.725,0
1980-03-24,13.14,13.14,13.14,13.14,13.14,0
1980-03-25,13.065,13.065,13.065,13.065,13.065,0
1980-03-26,12.988,12.988,12.988,12.988,12.988,0
1980-03-27,12.926,12.926,12.926,12.926,12.926,0
1980-03-28,12.684,12.684,12.684,12.684,12.684,0
1980-03-31,12.604,12.604,12.604,12.604,12.604,0
1980-04-01,12.654,12.654,12.654,12.654,12.654,0
1980-04-02,12.593,12.593,12.593,12.593,12.593,0
1980-04-03,12.484,12.484,12.484,12.484,12.484,0
1980-04-04,12.485,12.485,12.485,12.485,12.485,0
1980-04-07,12.485,12.485,12.485,12.485,12.485,0
1980-04-08,12.172,12.172,12.172,12.172,12.172,0
1980-04-09,12.02,12.02,12.02,12.02,12.02,0
1980-04-10,12.02,12.02,12.02,12.02,12.02,0
1980-04-11,12.021,12.021,12.021,12.021,12.021,0
1980-04-14,11.584,11.584,11.584,11.584,11.584,0
1980-04-15,11.539,11.539,11.539,11.539,11.539,0
1980-04-16,10.867,10.867,10.867,10.867,10.867,0
1980-04-17,11.083,11.083,11.083,11.083,11.083,0
1980-04-18,11.008,11.008,11.008,11.008,11.008,0
1980-04-21,10.857,10.857,10.857,10.857,10.857,0
1980-04-22,10.782,10.782,10.782,10.782,10.782,0
1980-04-23,10.847,10.847,10.847,10.847,10.847,0
1980-04-24,10.922,10.922,10.922,10.922,10.922,0
1980-04-25,10.911,10.911,10.911,10.911,10.911,0
1980-04-28,10.583,10.583,10.583,10.583,10.583,0
1980-04-29,10.625,10.625,10.625,10.625,10.625,0
1980-04-30,10.719,10.719,10.719,10.719,10.719,0
1980-05-01,10.529,10.529,10.529,10.529,10.529,0
1980-05-02,10.18,10.18,10.18,10.18,10.18,0
1980-05-05,10.154,10.154,10.154,10.154,10.154,0
1980-05-06,9.711,9.711,9.711,9.711,9.711,0
1980-05-07,9.908,9.908,9.908,9.908,9.908,0
1980-05-08,10.139,10.139,10.139,10.139,10.139,0
1980-05-09,10.281,10.281,10.281,10.281,10.281,0
1980-05-12,10.199,10.199,10.199,10.199,10.199,0
1980-05-13,10.078,10.078,10.078,10.078,10.078,0
1980-05-14,10.114,10.114,10.114,10.114,10.114,0
1980-05-15,10.277,10.277,10.277,10.277,10.277,0
1980-05-16,10.349,10.349,10.349,10.349,10.349,0
1980-05-19,10.494,10.494,10.494,10.494,10.494,0
1980-05-20,10.179,10.179,10.179,10.179,10.179,0
1980-05-21,10.042,10.042,10.042,10.042,10.042,0
1980-05-22,10.062,10.062,10.062,10.062,10.062,0
1980-05-23,9.811,9.811,9.811,9.811,9.811,0
1980-05-26,9.811,9.811,9.811,9.811,9.811,0
1980-05-27,9.92,9.92,9.92,9.92,9.92,0
1980-05-28,9.92,9.92,9.92,9.92,9.92,0
1980-05-29,10.203,10.203,10.203,10.203,10.203,0
1980-05-30,10.208,10.208,10.208,10.208,10.208,0
1980-06-02,9.869,9.869,9.869,9.869,9.869,0
1980-06-03,9.731,9.731,9.731,9.731,9.731,0
1980-06-04,9.669,9.669,9.669,9.669,9.669,0
1980-06-05,9.573,9.573,9.573,9.573,9.573,0
1980-06-06,9.397,9.397,9.397,9.397,9.397,0
1980-06-09,9.254,9.254,9.254,9.254,9.254,0
1980-06-10,9.3,9.3,9.3,9.3,9.3,0
1980-06-11,9.296,9.296,9.296,9.296,9.296,0
1980-06-12,9.243,9.243,9.243,9.243,9.243,0
1980-06-13,9.174,9.174,9.174,9.174,9.174,0
1980-06-16,9.143,9.143,9.143,9.143,9.143,0
1980-06-17,9.113,9.113,9.113,9.113,9.113,0
1980-06-18,9.139,9.139,9.139,9.139,9.139,0
1980-06-19,9.158,9.158,9.158,9.158,9.158,0
1980-06-20,9.139,9.139,9.139,9.139,9.139,0
1980-06-23,9.185,9.185,9.185,9.185,9.185,0
1980-06-24,9.195,9.195,9.195,9.195,9.195,0
1980-06-25,9.41,9.41,9.41,9.41,9.41,0
1980-06-26,9.145,9.145,9.145,9.145,9.145,0
1980-06-27,9.287,9.287,9.287,9.287,9.287,0
1980-06-30,9.433,9.433,9.433,9.433,9.433,0
1980-07-01,9.494,9.494,9.494,9.494,9.494,0
1980-07-02,9.548,9.548,9.548,9.548,9.548,0
1980-07-03,9.443,9.443,9.443,9.443,9.443,0
1980-07-04,9.444,9.444,9.444,9.444,9.444,0
1980-07-07,9.444,9.444,9.444,9.444,9.444,0
